time,time_s,H_axis_near,H_axis_near_raw,H_axis_near_min,H_center_region,H_center_region_raw,H_center_region_min,H_robust_main_interface,H_raw_global,axis_interface_points_count,center_interface_points_count,number_of_interface_components,main_component_length,axis_component_length,center_component_length,pseudo_spike_flag,near_top_flag,late_time_flag,cavity_or_rebound_proxy_m,H_m,H_mm
0.0031000000000000003,0.0031000000000000003,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0032,0.0032,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0033,0.0033,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0034000000000000002,0.0034000000000000002,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0035,0.0035,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0036000000000000003,0.0036000000000000003,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0037,0.0037,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0038,0.0038,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0039000000000000003,0.0039000000000000003,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.0001292522134324685,0.0001532150648842898,0,2,2,0.01314319438331767,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.004,0.004,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.0001292522134324685,0.0001532150648842898,0,2,2,0.01314319438331767,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0041,0.0041,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.0001292522134324685,0.0001532150648842898,0,2,2,0.01314319438331767,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.004200000000000001,0.004200000000000001,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00012925221343246853,0.00015321506488428984,0,2,2,0.01314319438331767,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0043,0.0043,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.79897436988812e-06,0.0001292522134324685,0.0001532150648842898,0,2,2,0.01314319438331767,0.0,0.0010520470055726296,False,False,False,5.554038826444177e-05,6.233936263432989e-05,0.06233936263432989
0.0044,0.0044,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.0001292522134324685,0.0001532150648842898,0,2,2,0.01314319438331767,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
