case_id,time,H_median,H_mean,H_p95,H_p99,pseudo_spike_ROI_flag,interface_points_count,main_component_points_count,interface_roughness_peak_to_peak
D0,0.0048000000000000004,3.3267217821535005e-06,-1.521862491389735e-05,5.916398657836253e-05,0.00012471883453587176,True,118,118,0.0010655361277960023
D0,0.0049,3.240724170010973e-06,-1.4988691139053538e-05,6.015958139414969e-05,0.00012405745407215884,True,118,118,0.0010625365159445278
D0,0.005,3.251740196620563e-06,-1.4757160293950098e-05,6.113935922338613e-05,0.00012341260910630282,True,118,118,0.0010595430631147296
D1,0.0,-1.278300511427954e-06,-2.1577721191534186e-05,0.00011056319931343799,0.00016571892440196147,True,117,117,0.0012005165932410062
D1,0.00010000000000000002,-1.2776942933723277e-06,-2.152545387532483e-05,0.00011002607057471277,0.000165210004127769,True,117,117,0.0011983217686669637
D1,0.0002,-1.2646649906701752e-06,-2.1465235130158557e-05,0.00010943591623810806,0.00016464781152367971,True,117,117,0.001196086152047405
D1,0.00030000000000000003,-1.2435812762248005e-06,-2.139889924689985e-05,0.0001088006642368352,0.00016404811677481247,True,117,117,0.0011938122245470691
D1,0.0004,-1.15018514003476e-06,-2.1328074582886948e-05,0.00010813279079346348,0.00016342128036274817,True,117,117,0.0011915135752441387
D1,0.0005,-9.851258106115471e-07,-2.1251799782745236e-05,0.00010742807673959047,0.00016276332735970454,True,117,117,0.0011891806151264521
D1,0.0006000000000000001,-8.488910559413594e-07,-2.1171623620209157e-05,0.0001066972099404194,0.00016208326158957881,True,117,117,0.0011868188053842633
D1,0.0007,-7.955864600766197e-07,-2.108702473427407e-05,0.00010593707944333675,0.00016137831047106425,True,117,117,0.0011844220289367493
D1,0.0008,-7.170392423025444e-07,-2.0996190861526355e-05,0.00010513544662804819,0.00016063725911993044,True,117,117,0.0011819641792367949
D1,0.0009000000000000001,-6.642144265803613e-07,-2.0903071745426775e-05,0.0001043193040772937,0.0001598835425241131,True,117,117,0.0011794882385617266
D1,0.001,-5.886079019356626e-07,-2.080581512576354e-05,0.00010347856774427556,0.0001591074332649458,True,117,117,0.0011769835889677656
D1,0.0011,-5.064989589463494e-07,-2.0705109851047887e-05,0.00010261716748694248,0.00015831269539057517,True,117,117,0.0011744548131323589
D1,0.0012000000000000001,-4.174668949497449e-07,-2.060016735485456e-05,0.00010173258453705286,0.0001574961008203274,True,117,117,0.0011718882919287037
D1,0.0013000000000000002,-2.0427464278059086e-07,-2.049062052517426e-05,0.00010082362085526646,0.0001566561701266092,True,117,117,0.0011692779681759277
D1,0.0014,-5.8382357879995656e-08,-2.037680997590556e-05,9.989122661246048e-05,0.00015579425999989347,True,117,117,0.0011666299957902295
D1,0.0015,-9.967160378998325e-09,-2.0258724505967513e-05,9.893877628328778e-05,0.0001549118813740599,True,117,117,0.0011639461394035559
D1,0.0016,4.195800815354157e-08,-2.0136298386183632e-05,9.79663087146586e-05,0.00015400900043530715,True,117,117,0.0011612262694108613
D1,0.0017000000000000001,1.3560794855665529e-07,-2.000947990430485e-05,9.69726734862134e-05,0.00015308503411124507,True,117,117,0.001158469582839655
D1,0.0018000000000000002,2.682133109887522e-07,-1.987839455561367e-05,9.596278589448366e-05,0.0001521426464283501,True,117,117,0.0011556790461595295
D1,0.0019,2.537272848798344e-07,-1.9742960331356898e-05,9.493540290967731e-05,0.00015118110564295076,True,117,117,0.001152853722574922
D1,0.002,2.8750326347141606e-07,-1.9603107568566368e-05,9.388968355569825e-05,0.00015019990228468005,True,117,117,0.0011499929249824269
D1,0.0021000000000000003,5.136310119435706e-07,-1.945925593807949e-05,9.283214891867402e-05,0.00014920271584007344,True,117,117,0.0011471009535382157
D1,0.0022,4.5389626387109345e-07,-1.9311162587675713e-05,9.175986561002566e-05,0.00014818781369016696,True,117,117,0.0011441756526275482
D1,0.0023,5.175073806129289e-07,-1.915886196035218e-05,9.065146772535658e-05,0.0001471555981917918,True,117,117,0.0011412186434058475
D1,0.0024000000000000002,6.018132457496898e-07,-1.9003777809257913e-05,8.942188348369593e-05,0.00014611557450080703,True,117,117,0.001138259805539464
D1,0.0025,6.8996762746167e-07,-1.8845129422509666e-05,8.818153240927716e-05,0.00014506283652740646,True,117,117,0.0011352838664080637
D1,0.0026000000000000003,7.819962019145444e-07,-1.8682873830087816e-05,8.693035925333827e-05,0.00014399731222138512,True,117,117,0.0011322907024999837
D1,0.0027,8.779251881281883e-07,-1.851696676052282e-05,8.566830846240093e-05,0.00014291892902945408,True,117,117,0.0011292801887918028
D1,0.0028,9.776424162837851e-07,-1.8347444134768617e-05,8.439676893702822e-05,0.0001418285438987988,True,117,117,0.0011262535545034456
D1,0.0029000000000000002,1.0793428046665648e-06,-1.8175340490321886e-05,8.313476135065785e-05,0.00014073835042228988,True,117,117,0.0011232285802572706
D1,0.003,1.1843310432006857e-06,-1.800057555341938e-05,8.168136003832945e-05,0.00013963973063385384,True,117,117,0.0011201927197231482
D1,0.0031000000000000003,1.2926314561795683e-06,-1.7822555422822152e-05,8.019763688517873e-05,0.00013853263876744155,True,117,117,0.0011171459085911391
D1,0.0032,1.1258913543238049e-06,-1.764110830528821e-05,7.870530345112916e-05,0.00013741702888515447,True,117,117,0.001114088082094428
D1,0.0033,9.019092039351187e-07,-1.7456325960545783e-05,7.720641447161255e-05,0.00013652083361328878,True,117,117,0.0011110208530603705
D1,0.0034000000000000002,6.71027100529812e-07,-1.7269942980325806e-05,7.572832775523966e-05,0.0001357110133104776,True,117,117,0.0011079663308809005
D1,0.0035,4.3241736111810526e-07,-1.708069627079216e-05,7.425200348597502e-05,0.0001349025665731027,True,117,117,0.0011049090939818807
D1,0.0036000000000000003,1.2126120270026332e-06,-1.6888553358346112e-05,7.277750313079447e-05,0.00013409549334113602,True,117,117,0.0011018491650499436
D1,0.0037,2.042800616689866e-06,-1.6693481027766553e-05,7.130488843594609e-05,0.0001332897936318283,True,117,117,0.001098786566894
D1,0.0038,2.1236704111769647e-06,-1.6495574645996766e-05,6.983624072498449e-05,0.00013248649353263302,True,117,117,0.0010957223251853222
D1,0.0039000000000000003,2.251351729522287e-06,-1.629651406435679e-05,6.843416884051912e-05,0.00013169912225153755,True,117,117,0.0010926697249247952
D1,0.004,2.3813427338237195e-06,-1.6095088624509814e-05,6.936094443686221e-05,0.0001309182480006657,True,117,117,0.0010896196289702379
D1,0.0041,2.513665523159634e-06,-1.5891274559906136e-05,7.02772685377241e-05,0.00013014389879777174,True,117,117,0.001086572122312151
D1,0.004200000000000001,2.2971550285830243e-06,-1.6569215496684286e-05,6.931463909730864e-05,0.00012902701034497234,True,118,118,0.0010835272897206155
D1,0.0043,2.787884378593521e-06,-1.634936096556709e-05,6.748324187148461e-05,0.00012827305918368303,True,118,118,0.0010804857351096133
D1,0.0044,2.890643595953441e-06,-1.61285607336778e-05,6.565723808315448e-05,0.0001275394656876584,True,118,118,0.0010774544194345087
D1,0.0045000000000000005,2.9911949951433874e-06,-1.5905735416026e-05,6.344229755343645e-05,0.00012681736618275625,True,118,118,0.001074428692633439
D1,0.0046,3.1439605795826114e-06,-1.5680630202510642e-05,6.102250903398605e-05,0.00012610681668218752,True,118,118,0.0010714086759640766
D1,0.0047,3.2005322740247906e-06,-1.5453304916972306e-05,5.958121993161251e-05,0.00012540787381015177,True,118,118,0.0010683944896733204
D1,0.0048000000000000004,3.3093975003502035e-06,-1.5224028482399617e-05,5.917283001541814e-05,0.0001247215486388757,True,118,118,0.0010653862492252392
D1,0.0049,3.2469094872374517e-06,-1.4993997498856616e-05,6.016841864243144e-05,0.0001240604770715312,True,118,118,0.0010623840388813885
D1,0.005,3.240000092515828e-06,-1.4762360868049195e-05,6.114818187619384e-05,0.0001234159496880926,True,118,118,0.001059388032283249
D2,0.0,-1.2783099299695842e-06,-2.1577724078053728e-05,0.00011056318605563439,0.00016571892396854504,True,117,117,0.0012005165624403517
D2,0.00010000000000000002,-1.2873718921002208e-06,-2.1527828074268703e-05,0.00011001267455484112,0.00016520981864414765,True,117,117,0.0011982936073411093
D2,0.0002,-1.2838184033223056e-06,-2.147001514883636e-05,0.00010940941063712394,0.00016464779885025182,True,117,117,0.0011960292206846697
D2,0.00030000000000000003,-1.272114639437941e-06,-2.140605207289644e-05,0.0001087612794784394,0.0001640483877453568,True,117,117,0.0011937265358339072
