case_id,inner,time,method,interface_points_count,main_component_points_count,number_of_components,H_median,H_mean,H_p95,H_p99,H_max_after_ROI_filter,interface_roughness_rms,interface_roughness_peak_to_peak,max_slope,pseudo_spike_old_flag,pseudo_spike_ROI_flag,outer_wall_contamination_flag,top_boundary_contamination_flag,ring_boundary_contamination_flag,isolated_component_count,extraction_status,failure_reason,H_raw_global_old,H_robust_old,diagnostic_only
D0,46,0.0045000000000000005,M0_old_original,120,120,1,3.0519559979787763e-06,5.965481945197123e-05,7.462346809783323e-05,0.0004818854396325182,0.007316993472571951,0.0006769099066353204,0.008192215151883411,33.074741657958384,True,True,True,False,False,0,PASS,,0.007316993472571951,3.0519559979787763e-06,
D0,46,0.0045000000000000005,M1_ROI_main_free_surface,118,118,1,3.007743868424279e-06,-1.590028227906589e-05,6.329263912719274e-05,0.00012681554710560153,0.0004960653996576332,0.00010721162920060579,0.0010745704852575004,5.202315784443254,False,True,False,False,False,0,PASS,,,,
D0,46,0.0045000000000000005,M2_center_window,33,33,1,-9.46574741128717e-06,-6.745809752307766e-06,4.851164647776575e-05,6.220579221728229e-05,6.241092535122462e-05,3.078352194983836e-05,0.0001424884199610929,1.8459130306605012,False,True,False,False,False,0,PASS,,,,
D0,46,0.0045000000000000005,M3_farfield_reference,66,66,1,4.592428419687353e-06,1.6519313866400266e-05,0.0002072915236721475,0.0003690849936414792,0.0005409107257354565,0.00010655467318845207,0.0008623354760881826,5.104694111853511,False,True,False,False,False,0,PASS,,,,
D0,46,0.0045000000000000005,M4_smoothed_main_interface,118,118,1,3.856513025522336e-06,-1.3148347314455673e-06,4.2854946911939226e-05,4.580956783322637e-05,4.6717255478791924e-05,3.084244877377009e-05,0.00015772644727470682,0.1837150031571826,False,False,False,False,False,0,PASS,,,,True
D0,47,0.0046,M0_old_original,120,120,1,3.171126342090587e-06,5.970524199557468e-05,7.2482286319092e-05,0.0004818854381138972,0.007308821357690547,0.0006761441809172463,0.00818323562436376,33.03718432014999,True,True,True,False,False,0,PASS,,0.007308821357690547,3.171126342090587e-06,
D0,47,0.0046,M1_ROI_main_free_surface,118,118,1,3.1513651654907537e-06,-1.5675057051853264e-05,6.086849864339056e-05,0.00012610471436169844,0.0004951904891143578,0.00010694612485336268,0.0010715532006750914,5.188736493702231,False,True,False,False,False,0,PASS,,,,
D0,47,0.0046,M2_center_window,33,33,1,-9.046136151054767e-06,-6.551172907774554e-06,4.849953350096521e-05,6.243795035397478e-05,6.289487764878294e-05,3.067441871086851e-05,0.0001429478205274016,1.814829723864998,False,True,False,False,False,0,PASS,,,,
D0,47,0.0046,M3_farfield_reference,66,66,1,4.721678067207959e-06,1.6563020084960046e-05,0.00020668328573478483,0.0003679079274501673,0.0005401685164151437,0.00010604559554796059,0.0008615432205083253,5.085080750888438,False,True,False,False,False,0,PASS,,,,
D0,47,0.0046,M4_smoothed_main_interface,118,118,1,4.178539228615345e-06,-1.1019248491969614e-06,4.413397858620776e-05,4.471566983679125e-05,4.823787032952917e-05,3.09384316024592e-05,0.00015837799857266154,0.18248148810872353,False,False,False,False,False,0,PASS,,,,True
D0,48,0.0047,M0_old_original,120,120,1,3.43304774436674e-06,5.9757478567937e-05,7.035133625827158e-05,0.0004818854357101526,0.007300586071147894,0.0006753619201265838,0.008174186588085561,32.99932571726332,True,True,True,False,False,0,PASS,,0.007300586071147894,3.43304774436674e-06,
D0,48,0.0047,M1_ROI_main_free_surface,118,118,1,3.21760420786518e-06,-1.54478099983507e-05,5.962024987806275e-05,0.00012540547268303817,0.0004943057570483642,0.00010667391591154329,0.0010685417102847066,5.17509485058811,False,True,False,False,False,0,PASS,,,,
D0,48,0.0047,M2_center_window,33,33,1,-8.619811064684286e-06,-6.353512856063476e-06,4.848014393477781e-05,6.266392462046872e-05,6.337340240330282e-05,3.05699364585366e-05,0.00014340004958332135,1.7836929921997173,False,True,False,False,False,0,PASS,,,,
D0,48,0.0047,M3_farfield_reference,66,66,1,5.021900799395028e-06,1.6607767770628028e-05,0.0002060786258410289,0.0003667189488683668,0.0005394181260603712,0.00010552814679307597,0.0008607350941396308,5.065445558901369,False,True,False,False,False,0,PASS,,,,
D0,48,0.0047,M4_smoothed_main_interface,118,118,1,4.322625565968972e-06,-8.827934424194179e-07,4.363685894744016e-05,4.53960836411946e-05,4.975547082712551e-05,3.1020170702325055e-05,0.00015901553429841544,0.18119113910853427,False,False,False,False,False,0,PASS,,,,True
D0,49,0.0048000000000000004,M0_old_original,120,120,1,3.624607705503354e-06,5.981155594496345e-05,6.938294036378759e-05,0.0004818854338572927,0.00729228665358859,0.0006745808292823632,0.008165066851332139,32.96116114958587,True,True,True,False,False,0,PASS,,0.00729228665358859,3.624607705503354e-06,
D0,49,0.0048000000000000004,M1_ROI_main_free_surface,118,118,1,3.3267217821535005e-06,-1.521862491389735e-05,5.916398657836253e-05,0.00012471883453587176,0.000493410500285947,0.00010641619830454416,0.0010655361277960023,5.161391696358051,False,True,False,False,False,0,PASS,,,,
D0,49,0.0048000000000000004,M2_center_window,33,33,1,-8.186997375180999e-06,-6.152822257609302e-06,4.845303923584971e-05,6.288324354163845e-05,6.38459366841856e-05,3.0470040922455008e-05,0.00014384435007030018,1.7525140861450152,False,True,False,False,False,0,PASS,,,,
D0,49,0.0048000000000000004,M3_farfield_reference,66,66,1,5.241572501626997e-06,1.6653524549954598e-05,0.00020547798488242353,0.0003655176308202009,0.0005386589780888805,0.00010503069835134172,0.00085990969220372,5.04579857760374,False,True,False,False,False,0,PASS,,,,
D0,49,0.0048000000000000004,M4_smoothed_main_interface,118,118,1,4.2733873637444975e-06,-6.804845942349331e-07,4.2574986413395345e-05,4.663994158340646e-05,5.126843680694764e-05,3.107522628099818e-05,0.00015963755266384114,0.1798444411676902,False,False,False,False,False,0,PASS,,,,True
