requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
77.5	77.5	1	3.48021121345	2
77.5	77.5	1.25	3.55143124672	2
77.5	77.5	1.5	3.66123401857	2
77.5	77.5	1.75	3.78028398198	2
77.5	77.5	2	4.03641326547	2
77.5	77.5	2.25	5.05974778948	3
77.5	77.5	2.75	9.55671904927	1
77.5	77.5	3	8.36064693694	1
77.5	77.5	3.25	7.21625324411	1
77.5	77.5	3.5	6.11461110657	1
77.5	77.5	3.75	3.28013329388	1
77.5	77.5	4	2.26124572822	1
77.5	77.5	4.25	2.25242094189	1
77.5	77.5	4.5	2.27011526561	1
77.5	77.5	4.75	2.32119202467	2
77.5	77.5	5	2.42794511232	1
77.5	77.5	5.25	2.48305172212	1
77.5	77.5	5.5	2.51179935446	1
77.5	77.5	5.75	2.52526417323	1
77.5	77.5	6	2.5026419619	1
77.5	77.5	6.25	2.4585321538	1
77.5	77.5	6.5	2.33983895319	2
77.5	77.5	6.75	2.22112542413	1
77.5	77.5	7	1.99003048742	1
77.5	77.5	7.25	1.65760830893	1
77.5	77.5	7.5	1.16228644041	1
78	78	0	3.20338095054	2
78	78	0.25	8.67766007277	1
78	78	0.5	3.33973675056	2
78	78	0.75	3.39849756955	2
78	78	1	3.46301145844	2
78	78	1.25	3.53801218137	2
78	78	1.5	3.61663731133	2
78	78	1.75	7.74502534603	1
78	78	2	3.93694052579	2
78	78	2.25	4.43146562957	2
78	78	2.75	9.82472932965	1
78	78	3	8.65819582652	1
78	78	3.25	7.53548088967	1
78	78	3.5	2.41993788191	2
78	78	3.75	3.11234019191	2
78	78	4	2.27902315202	1
78	78	4.25	2.23716814136	1
78	78	4.5	2.25413855297	1
78	78	4.75	2.28530059988	2
78	78	5	2.39984097295	1
78	78	5.25	2.46310337815	1
78	78	5.5	2.49510764254	1
78	78	5.75	2.5230425723	1
78	78	6	2.50035600514	1
78	78	6.25	2.47167408547	1
78	78	6.5	2.3707950331	1
78	78	6.75	2.23097958296	1
78	78	7	2.0141245723	1
78	78	7.25	1.69372554813	1
78	78	7.5	1.2428584381	1
78.5	78.5	0	3.15066697244	2
78.5	78.5	0.25	3.25110982959	2
78.5	78.5	0.5	3.30531267202	2
78.5	78.5	0.75	3.3731591539	2
78.5	78.5	1	3.43539444761	2
78.5	78.5	1.25	3.51663112138	2
78.5	78.5	1.5	3.59896779476	2
78.5	78.5	1.75	3.73006385388	2
78.5	78.5	2	3.88205304284	2
78.5	78.5	2.25	4.15269392044	2
78.5	78.5	3	8.92886810049	1
78.5	78.5	3.25	7.83849292152	1
78.5	78.5	3.5	2.69363918269	2
78.5	78.5	3.75	3.04610510957	2
78.5	78.5	4	2.30712124842	1
78.5	78.5	4.25	2.2311066011	1
78.5	78.5	4.5	2.22859060963	1
78.5	78.5	4.75	2.25690933483	1
78.5	78.5	5	2.31574157167	2
78.5	78.5	5.25	2.42520046064	1
78.5	78.5	5.5	2.47815452047	1
78.5	78.5	5.75	2.50351203141	1
78.5	78.5	6	2.50343207405	1
78.5	78.5	6.25	2.46575799541	1
78.5	78.5	6.5	2.3902089549	1
78.5	78.5	6.75	2.23861203436	1
78.5	78.5	7	2.0508412535	1
78.5	78.5	7.25	1.73381920016	1
78.5	78.5	7.5	1.31798652726	1
79	79	0	3.05547275846	2
79	79	0.25	3.19166678831	2
79	79	0.5	8.72017190151	1
79	79	0.75	3.3417926603	2
79	79	1	3.41462069487	3
79	79	1.25	3.49323714786	2
79	79	1.5	3.58570559856	2
79	79	1.75	3.69340282671	2
79	79	2	3.82499787434	2
79	79	2.25	4.04941645457	2
79	79	2.5	4.67787005912	3
79	79	3	9.19457824191	1
79	79	3.25	8.12681937051	1
79	79	3.5	7.08281593032	1
79	79	3.75	2.4216832514	3
79	79	4	3.66716184044	1
79	79	4.25	2.24496158129	1
79	79	4.5	2.20468914539	1
79	79	4.75	2.22871539781	1
79	79	5	2.26818234877	1
79	79	5.25	2.33992926677	2
79	79	5.5	2.45612508906	1
79	79	5.75	2.48637645531	1
79	79	6	2.51615619175	1
79	79	6.25	2.46729401226	1
79	79	6.5	2.41007004303	1
79	79	6.75	2.25371320961	1
79	79	7	2.07785083709	1
79	79	7.25	1.77555021007	1
79	79	7.5	1.39198470014	1
79	79	7.75	0.458488466398	2
79.5	79.5	0	2.95747443141	2
79.5	79.5	0.25	3.14517923143	1
79.5	79.5	0.5	3.25847692879	2
79.5	79.5	0.75	3.31672613011	2
79.5	79.5	1	3.39669947766	2
79.5	79.5	1.25	3.47343115797	2
79.5	79.5	1.5	3.5683032262	2
79.5	79.5	1.75	3.66816559154	2
79.5	79.5	2	3.78513281415	2
79.5	79.5	2.25	3.98914969665	2
79.5	79.5	2.5	4.44382041427	2
79.5	79.5	3	9.44058421623	1
79.5	79.5	3.25	8.40152350499	1
79.5	79.5	3.5	7.38392705567	1
79.5	79.5	3.75	2.60273106608	2
79.5	79.5	4	4.18720882958	2
79.5	79.5	4.25	2.27072165285	1
79.5	79.5	4.5	2.19822601801	1
79.5	79.5	4.75	2.20085928027	1
79.5	79.5	5	2.23254420303	1
79.5	79.5	5.25	2.29769377568	2
79.5	79.5	5.5	2.41494509687	1
79.5	79.5	5.75	2.46869243162	1
79.5	79.5	6	2.49585122872	1
79.5	79.5	6.25	2.4764748961	1
79.5	79.5	6.5	2.41730498703	1
79.5	79.5	6.75	2.27262061783	1
79.5	79.5	7	2.09563905182	1
79.5	79.5	7.25	1.81932734093	1
79.5	79.5	7.5	1.45173141134	1
79.5	79.5	7.75	0.664226531954	1
80	80	0	2.76160372085	3
80	80	0.25	3.0782735563	2
80	80	0.5	3.23810767952	2
80	80	0.75	3.29278240243	2
80	80	1	3.37879333139	2
80	80	1.25	3.45850002571	2
80	80	1.5	3.54736996174	2
80	80	1.75	3.6477424342	2
80	80	2	3.75469661517	2
80	80	2.25	3.93616256007	2
80	80	2.5	4.18293989873	3
80	80	3	9.67834751997	1
80	80	3.25	8.66186374777	1
80	80	3.5	7.66455230537	1
80	80	3.75	2.79629379674	2
80	80	4	5.29670313158	1
80	80	4.25	2.30177577525	1
80	80	4.5	2.20711576373	1
80	80	4.75	2.17495158463	1
80	80	5	2.20199796545	1
80	80	5.25	2.24761630234	1
80	80	5.5	2.32427231367	2
80	80	5.75	2.44478080869	1
80	80	6	2.47649959701	1
80	80	6.25	2.50999304065	1
80	80	6.5	2.42570351073	1
80	80	6.75	2.32309814853	1
80	80	7	2.11253828156	1
80	80	7.25	1.86255816896	2
80	80	7.5	1.4974880755	1
80	80	7.75	0.829031421901	1
80.5	80.5	0	2.63277983892	2
80.5	80.5	0.25	3.00517278851	2
80.5	80.5	0.5	3.21436255397	2
80.5	80.5	0.75	8.83879527873	1
80.5	80.5	1	3.35656007373	2
80.5	80.5	1.25	3.43844041561	2
80.5	80.5	1.5	3.51969233493	2
80.5	80.5	1.75	3.62389276136	2
80.5	80.5	2	3.73965758169	2
80.5	80.5	2.25	3.87705949229	2
80.5	80.5	2.5	4.11082558288	2
80.5	80.5	2.75	4.66062368929	3
80.5	80.5	3	9.90448627778	1
80.5	80.5	3.25	8.9106744057	1
80.5	80.5	3.5	7.93798128565	1
80.5	80.5	3.75	6.96137722531	1
80.5	80.5	4	2.48601727617	3
80.5	80.5	4.25	2.33949785098	1
80.5	80.5	4.5	2.22769911625	1
80.5	80.5	4.75	2.16477940042	1
80.5	80.5	5	2.17521117014	1
80.5	80.5	5.25	2.21082181521	1
80.5	80.5	5.5	2.28114766991	1
80.5	80.5	5.75	2.40600283968	1
80.5	80.5	6	2.45825763712	1
80.5	80.5	6.25	2.48686675814	1
80.5	80.5	6.5	2.44023029758	1
80.5	80.5	6.75	2.31951111609	2
80.5	80.5	7	2.14576459799	1
80.5	80.5	7.25	1.91591454495	1
80.5	80.5	7.5	1.5404363044	1
80.5	80.5	7.75	0.985180873819	1
81	81	0	2.49762943442	2
81	81	0.25	2.73178144447	3
81	81	0.5	3.15034021365	2
81	81	1	3.33138348552	2
81	81	1.25	3.41441120407	2
81	81	1.5	3.50350229886	2
81	81	1.75	3.59945112615	2
81	81	2	3.71386031978	2
81	81	2.25	3.82388278012	2
81	81	2.5	4.04357712984	2
81	81	2.75	4.48667945862	2
81	81	3.25	9.14599127799	1
81	81	3.5	8.20193170487	1
81	81	3.75	7.24269442753	1
81	81	4	2.61784085243	2
81	81	4.25	3.59094228943	1
81	81	4.5	2.24464953029	1
81	81	4.75	2.17134140618	1
81	81	5	2.14644801599	1
81	81	5.25	2.17938337319	1
81	81	5.5	2.23113177404	1
81	81	5.75	2.31182067982	2
81	81	6	2.43574212301	1
81	81	6.25	2.46522158542	1
81	81	6.5	2.46392094576	1
81	81	6.75	2.32089955217	2
81	81	7	2.19274645158	1
81	81	7.25	1.94846274371	1
81	81	7.5	1.58497699472	1
81	81	7.75	1.06195879952	1
81.5	81.5	0	2.4327662675	3
81.5	81.5	0.25	2.60752678152	2
81.5	81.5	0.5	3.03001657226	2
81.5	81.5	0.75	3.25497925883	2
81.5	81.5	1	3.29426415321	2
81.5	81.5	1.25	3.39550304051	2
81.5	81.5	1.5	3.48774184648	2
81.5	81.5	1.75	3.57433420118	2
81.5	81.5	2	3.68880141429	2
81.5	81.5	2.25	3.75579391956	2
81.5	81.5	2.5	3.9842477849	2
81.5	81.5	2.75	4.33613635698	2
81.5	81.5	3.25	9.36636185797	1
81.5	81.5	3.5	8.44731658238	1
81.5	81.5	3.75	7.52156874766	1
81.5	81.5	4	2.81160958994	2
81.5	81.5	4.25	4.91855116589	1
81.5	81.5	4.5	2.27622884403	1
81.5	81.5	4.75	2.18249719362	1
81.5	81.5	5	2.13252038771	1
81.5	81.5	5.25	2.15238179496	1
81.5	81.5	5.5	2.19415874201	1
81.5	81.5	5.75	2.26925469084	1
81.5	81.5	6	2.34191905018	2
81.5	81.5	6.25	2.44859373749	1
81.5	81.5	6.5	2.46979640848	1
81.5	81.5	6.75	2.32473762861	2
81.5	81.5	7	2.20509055262	1
81.5	81.5	7.25	1.97771848439	1
81.5	81.5	7.5	1.62243859344	1
81.5	81.5	7.75	1.13970545746	1
82	82	0	2.39955606472	2
82	82	0.25	2.48380014161	2
82	82	0.5	2.72229516648	3
82	82	0.75	3.15974078089	2
82	82	1	8.94485651462	1
82	82	1.25	3.37153000544	2
82	82	1.5	3.46925388604	2
82	82	1.75	3.56523717814	2
82	82	2	3.66723078155	2
82	82	2.25	8.15583346355	1
82	82	2.5	3.91844259484	2
82	82	2.75	4.17305386821	2
82	82	3	4.90936695299	2
82	82	3.25	9.58211537577	1
82	82	3.5	8.69059134672	1
82	82	3.75	7.79696183951	1
82	82	4	6.84028086051	1
82	82	4.25	2.46103382518	3
82	82	4.5	2.31415971751	1
82	82	4.75	2.19376378991	1
82	82	5	2.13816507355	1
82	82	5.25	2.12193373027	1
82	82	5.5	2.16271464253	1
82	82	5.75	2.22174776219	1
82	82	6	2.30592638061	2
82	82	6.25	2.4333306183	1
82	82	6.5	2.44851182832	1
82	82	6.75	2.33215407	2
82	82	7	2.21332821081	1
82	82	7.25	2.0200194772	1
82	82	7.5	1.66327101894	1
82	82	7.75	1.21900053437	1
82.5	82.5	0	2.34203275708	3
82.5	82.5	0.25	2.43192695755	2
82.5	82.5	0.5	2.60533393429	2
82.5	82.5	0.75	3.02861859978	2
82.5	82.5	1	3.26264429571	2
82.5	82.5	1.25	3.32807799925	1
82.5	82.5	1.5	3.44647995683	2
82.5	82.5	1.75	3.54944903999	2
82.5	82.5	2	3.64426816204	2
82.5	82.5	2.25	8.2623061626	1
82.5	82.5	2.5	3.86138633323	2
82.5	82.5	2.75	4.10557012318	2
82.5	82.5	3	4.58566922224	2
82.5	82.5	3.25	9.78979699186	1
82.5	82.5	3.5	8.91276287019	1
82.5	82.5	3.75	8.04288248087	1
82.5	82.5	4	7.09993227439	1
82.5	82.5	4.25	2.59225273084	2
82.5	82.5	4.75	2.20702071317	1
82.5	82.5	5	2.14148253306	1
82.5	82.5	5.25	2.1052871498	1
82.5	82.5	5.5	2.13583619031	1
82.5	82.5	5.75	2.18856968438	1
82.5	82.5	6	2.26723173129	1
82.5	82.5	6.25	2.33800502393	2
82.5	82.5	6.5	2.43547350569	1
82.5	82.5	6.75	2.42300566061	1
82.5	82.5	7	2.22636487167	1
82.5	82.5	7.25	2.0339985773	1
82.5	82.5	7.5	1.70438817272	1
82.5	82.5	7.75	1.30258583321	1
82.5	82.5	8	0.217905858595	1
83	83	0	2.33464235408	2
83	83	0.25	2.40434332202	2
83	83	0.5	2.48806346919	2
83	83	0.75	2.72688884607	3
83	83	1	3.16439757801	2
83	83	1.25	8.98594918267	1
83	83	1.5	3.41474200982	2
83	83	1.75	3.52900640214	2
83	83	2	3.63573674234	2
83	83	2.25	3.74748919332	2
83	83	2.5	3.83912797799	2
83	83	2.75	4.04662797799	2
83	83	3	4.44801387893	3
83	83	3.25	9.98694956615	1
83	83	3.5	9.12929763611	1
83	83	3.75	8.28392751311	1
83	83	4	7.3832616316	1
83	83	4.25	2.71232435944	2
83	83	4.5	3.5941089376	2
83	83	4.75	2.24568617528	1
83	83	5	2.14515312624	1
83	83	5.25	2.10747798294	1
83	83	5.5	2.10552169297	1
83	83	5.75	2.15786673577	1
83	83	6	2.22482720585	1
83	83	6.25	2.30538917524	2
83	83	6.5	2.42825954906	1
83	83	6.75	2.33277066736	2
83	83	7	2.25054844513	1
83	83	7.25	2.04663696084	1
83	83	7.5	1.75226515268	1
83	83	7.75	1.38877105584	1
83	83	8	0.572727260071	1
83.5	83.5	0	2.38891225317	2
83.5	83.5	0.25	2.34107014585	3
83.5	83.5	0.5	2.44039135847	2
83.5	83.5	0.75	2.61645787223	2
83.5	83.5	1	3.04334358631	2
83.5	83.5	1.25	9.07168692573	1
83.5	83.5	1.5	3.36656779243	2
83.5	83.5	1.75	3.50277879531	2
83.5	83.5	2	3.61648348614	2
83.5	83.5	2.25	3.73026070165	2
83.5	83.5	2.5	3.81577087399	2
83.5	83.5	2.75	3.98969735703	2
83.5	83.5	3	4.32417910401	2
83.5	83.5	3.25	5.06734279261	2
83.5	83.5	3.5	9.3350314512	1
83.5	83.5	3.75	8.5252749198	1
83.5	83.5	4	7.6592859461	1
83.5	83.5	4.25	6.6913108351	1
83.5	83.5	4.5	2.39995547305	3
83.5	83.5	4.75	2.28746583566	1
83.5	83.5	5	2.13488923399	1
83.5	83.5	5.25	2.10136627	1
83.5	83.5	5.5	2.08588907363	1
83.5	83.5	5.75	2.12805858323	1
83.5	83.5	6	2.19667148278	1
83.5	83.5	6.25	2.2675510137	2
83.5	83.5	6.5	2.34244179758	2
83.5	83.5	6.75	2.31568437184	2
83.5	83.5	7	2.2572915165	1
83.5	83.5	7.25	2.06498341415	1
83.5	83.5	7.5	1.79157503934	1
83.5	83.5	7.75	1.45091370213	1
83.5	83.5	8	0.755748057621	1
84	84	0	2.42942982016	2
84	84	0.25	2.33835721416	2
84	84	0.5	2.41332938139	2
84	84	0.75	2.50634584148	2
84	84	1	2.75060045889	3
84	84	1.25	3.19021416008	2
84	84	1.5	3.30873267413	2
84	84	1.75	3.46703673981	2
84	84	2	3.59202607883	2
84	84	2.25	3.71256348377	2
84	84	2.5	3.79268206728	2
84	84	2.75	3.9591246891	2
84	84	3	4.18549462514	2
84	84	3.25	4.66661358843	3
84	84	3.5	9.53295197718	1
84	84	3.75	8.74043947529	1
84	84	4	7.91361213077	1
84	84	4.25	6.99407489351	1
84	84	4.5	2.51899343533	3
84	84	4.75	2.31997044772	1
84	84	5	2.16426210874	1
84	84	5.25	2.08798279105	1
84	84	5.5	2.07644017292	1
84	84	5.75	2.09257023689	1
84	84	6	2.16241504572	1
84	84	6.25	2.23024553613	1
84	84	6.5	2.29643472541	2
84	84	6.75	2.31308184695	2
84	84	7	2.23663289902	1
84	84	7.25	2.10833984279	1
84	84	7.5	1.82970168687	1
84	84	7.75	1.50478727258	1
84	84	8	0.97081269006	1
84.5	84.5	0	2.46733136977	2
84.5	84.5	0.25	2.39155095187	2
84.5	84.5	0.5	2.34286457124	3
84.5	84.5	0.75	2.46256590477	2
84.5	84.5	1	2.64631312081	2
84.5	84.5	1.25	3.08124222146	2
84.5	84.5	1.5	9.11067852011	1
84.5	84.5	1.75	3.41617130287	2
84.5	84.5	2	3.56334875995	2
84.5	84.5	2.25	3.68733878488	2
84.5	84.5	2.5	8.48141987121	1
84.5	84.5	2.75	3.92584137618	2
84.5	84.5	3	4.13482315671	2
84.5	84.5	3.25	4.546279065	2
84.5	84.5	3.5	9.71899095603	1
84.5	84.5	3.75	8.94146293013	1
