requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
79	0.22525	78.9166666667	interface-000225250us.dat	8.50098673579	2.67897224439	3.44957060794	1.28764701283	3.40192710553	2.81161918528	1.20995301332	3	2
79.5	0.22575	79.4166666667	interface-000225750us.dat	8.58409652463	2.68438147308	3.45835938947	1.28832635158	3.40110097415	2.82153128424	1.20540962745	1	2
80	0.22625	79.9166666667	interface-000226250us.dat	8.66940524877	2.68849584416	3.43927467279	1.27925608673	3.3980076166	2.78747557211	1.21902686811	2	2
80.5	0.22675	80.4166666667	interface-000226750us.dat	8.75486644269	2.69564456739	3.42487600411	1.27052210278	3.38528020355	2.76163556805	1.22582437839	2	2
81	0.22725	80.9166666667	interface-000227250us.dat	8.83941302174	2.70613445804	3.43539584985	1.26948453712	3.38128476955	2.72562722066	1.2405529061	2	2
81.5	0.22775	81.4166666667	interface-000227750us.dat	8.92499406488	2.69993459289	3.41917178923	1.26639060007	3.37621853359	2.70022631833	1.25034650269	1	2
82	0.22825	81.9166666667	interface-000228250us.dat	9.00954578469	2.72864203162	3.41741942316	1.25242497314	3.37643497656	2.66719464761	1.26591247459	3	2
82.5	0.22875	82.4166666667	interface-000228750us.dat	9.09404227938	2.75805850013	3.40194738466	1.23345729777	3.36268792917	2.64537752045	1.27115615944	1	2
83	0.22925	82.9166666667	interface-000229250us.dat	9.17743864989	2.78796510513	3.39977021847	1.21944503976	3.36818501367	2.61535433564	1.28785035655	2	2
83.5	0.22975	83.4166666667	interface-000229750us.dat	9.26068061333	2.73127670974	3.41136650495	1.24900069363	3.36610841953	2.5957323587	1.29678562901	2	2
84	0.23025	83.9166666667	interface-000230250us.dat	9.34369970036	2.75771047182	3.39808841499	1.23221362421	3.36137098909	2.60172412797	1.29197825125	2	2
84.5	0.23075	84.4166666667	interface-000230750us.dat	9.42549408963	2.82476038511	3.39763792113	1.20280571019	3.34855388764	2.58469693323	1.29553056862	1	2
85	0.23125	84.9166666667	interface-000231250us.dat	9.50702967997	2.86414318756	3.38215291981	1.18086027769	3.34439031168	2.57118806858	1.30071788701	2	2
85.5	0.23175	85.4166666667	interface-000231750us.dat	9.58823221332	2.90758531247	3.3967272988	1.16822962485	3.34952470204	2.55830233532	1.30927633368	1	2
86	0.23225	85.9166666667	interface-000232250us.dat	9.66909374715	2.9608699037	3.38235963513	1.14235334383	3.3461274536	2.54846335505	1.31299806488	2	2
86.5	0.23275	86.4166666667	interface-000232750us.dat	9.75059694627	2.99740090767	3.39141986311	1.13145353844	3.33726164051	2.54086700593	1.3134342068	2	2
87	0.23325	86.9166666667	interface-000233250us.dat	9.83372779477	3.07302494716	3.37418644496	1.0980016443	3.32946507248	2.53733060318	1.31219206055	1	2
87.5	0.23375	87.4166666667	interface-000233750us.dat	9.91748030699	3.14845378783	3.36646978551	1.06924541771	3.32426831671	2.53398463614	1.31187390377	1	2
88	0.23425	87.9166666667	interface-000234250us.dat	10.0038632731	3.22180995177	3.35543087587	1.04147386907	3.31399185551	2.51941269382	1.31538269361	2	2
88.5	0.23475	88.4166666667	interface-000234750us.dat	10.0908646704	3.2890481264	3.36603016081	1.02340556643	3.31293335865	2.51279557225	1.31842534078	1	2
89	0.23525	88.9166666667	interface-000235250us.dat	10.1774936535	3.35276959285	3.35276959285	1	3.30332531181	2.50972475035	1.31621019849	1	2
89.5	0.23575	89.4166666667	interface-000235750us.dat	10.2637650538	3.42842816038	3.42842816038	1	3.29731286601	2.50937543482	1.31399742751	3	2
90	0.23625	89.9166666667	interface-000236250us.dat	10.349692815	3.51407397982	3.51407397982	1	3.28075151714	2.51148503486	1.30629944897	2	2
